ns_queue,ew_queue,ns_wait,ew_wait,ns_count,ew_count,ns_speed,ew_speed,time_since_switch,delta_queue,decision
0,0,0.0,0.0,0,0,55.56,201.41999999999996,0,0,1
0,0,0.0,0.0,0,0,55.56,201.41999999999996,1,0,1
0,0,0.0,0.0,0,0,55.56,201.41999999999996,2,0,0
0,0,0.0,0.0,0,0,55.56,201.41999999999996,3,0,0
0,0,0.0,0.0,0,0,55.56,201.41999999999996,4,0,0
0,1,0.0,0.0,0,1,55.56,187.52999999999997,5,-1,1
0,0,0.0,0.0,0,1,55.56,189.85145470748654,6,0,1
0,0,0.0,0.0,0,1,55.56,192.31444426672067,7,0,0
0,0,0.0,0.0,0,1,55.56,194.04090670076664,8,0,0
0,0,0.0,0.0,0,1,55.56,195.83350997149944,9,0,1
0,0,0.0,0.0,0,1,55.56,193.1261454521799,10,0,0
0,0,0.0,0.0,0,1,55.56,190.12050510078018,11,0,0
0,0,0.0,0.0,0,1,55.56,187.7193794387572,12,0,0
1,0,0.0,0.0,1,1,41.67,187.6515396232058,13,1,0
0,1,0.0,1.0,1,1,43.335358232823204,187.5420685700518,1,-1,1
1,1,0.0,2.0,2,1,15.904864933420905,187.53763707087836,2,0,1
0,1,0.0,3.0,2,1,17.88292163309874,187.53135962664425,3,-1,1
0,1,0.0,4.0,2,1,20.35770508508198,187.52999999999997,4,-1,1
1,1,0.0,5.0,2,2,17.012536600381136,92.56977544884896,5,0,1
0,1,0.0,6.0,3,1,12.257086145973544,187.52999999999997,6,-1,1
0,2,0.0,7.0,2,3,22.229483033364307,56.52475063330494,7,-2,1
0,1,0.0,8.0,2,2,23.185958607352802,87.4977916816878,8,-1,1
0,1,0.0,9.0,2,2,24.86337363082345,88.250942099588,9,-1,1
1,1,0.0,10.0,2,3,20.614045169301214,58.230539747963974,10,0,1
0,1,0.0,11.0,2,2,21.533248280254192,90.25548106194941,11,-1,1
1,1,0.0,12.0,3,2,10.810335021675337,91.28420205868781,12,0,1
0,1,0.0,13.0,2,2,18.25332322859671,89.37823345324864,13,-1,1
1,1,0.0,14.0,3,2,12.084079833680299,87.2918788172143,14,0,1
0,3,0.0,16.0,2,4,18.064289348255844,42.731861570910965,15,-3,1
0,2,0.0,18.0,3,3,12.09971816964111,58.223255268226126,16,-2,1
0,2,0.0,20.0,3,3,11.073389353035068,58.65007827154551,17,-2,1
1,3,1.0,22.0,3,4,11.028292987214451,43.98433993073759,18,-2,1
2,2,2.0,24.0,3,4,10.514256569383356,44.03104221216388,19,0,1
1,0,3.0,0.0,3,4,9.82493063597647,41.599889487166436,20,1,0
2,0,5.0,0.0,3,4,10.046043777767096,42.606196368753444,1,2,0
2,0,7.0,0.0,3,4,10.18202644716365,44.08263450728131,1,2,0
2,0,9.0,0.0,3,4,9.649480631460131,42.67581939157314,1,2,0
2,1,11.0,0.0,3,5,9.422128757028334,33.12694128489163,1,1,0
3,0,13.0,0.0,4,5,6.967965275321307,35.42039445626775,1,3,0
3,0,16.0,0.0,4,4,7.2179509249973055,46.059330439395765,1,3,0
3,0,19.0,0.0,4,3,7.528569756445323,63.54364351784718,1,3,0
3,0,22.0,0.0,4,2,7.801170074352308,95.8314477618178,1,3,0
3,1,25.0,0.0,4,3,7.255463532139201,59.9821085047163,1,2,0
4,0,28.0,0.0,5,2,5.610443455663649,93.48173398150132,1,4,0
4,0,32.0,0.0,5,2,5.693779744392943,95.24094866078113,1,4,0
4,0,36.0,0.0,5,2,5.853682850290621,96.61577669923193,1,4,0
4,1,40.0,0.0,5,3,5.730901928714552,63.70646543698617,1,3,0
4,0,44.0,0.0,5,2,5.576035340845506,96.92582367529161,1,4,0
4,0,48.0,0.0,5,2,5.57229955075616,94.58704090911661,1,4,0
5,1,53.0,0.0,5,3,5.5582240542912,63.12534917473016,1,4,0
5,0,58.0,0.0,5,3,5.556029878083512,64.46062803299009,1,5,0
5,0,63.0,0.0,5,2,5.556010428538952,96.77956836796713,1,5,0
5,0,68.0,0.0,5,2,5.556,94.3734481912735,1,5,0
6,0,73.0,0.0,6,2,4.63,96.64029167416038,1,6,0
5,0,78.0,0.0,6,2,4.696735966348623,97.64979242472984,1,5,0
5,0,83.0,0.0,6,2,4.640487487744537,98.5313503248741,1,5,0
5,0,88.0,0.0,6,1,4.634991128844291,198.48106127191818,1,5,0
6,1,94.0,0.0,6,2,4.6331509860081965,92.89414522762186,1,5,0
6,0,100.0,0.0,6,2,4.6307042533155,93.3744020541805,1,6,0
6,0,106.0,0.0,6,1,4.630338606616269,190.95577516443558,1,6,0
6,0,112.0,0.0,6,1,4.630067834092578,192.9275767526775,1,6,0
6,0,118.0,0.0,6,1,4.630010843009657,194.75284138069952,1,6,0
6,1,124.0,0.0,6,2,4.63000551141132,96.10107462524087,1,5,0
6,0,130.0,0.0,6,2,4.6300042890572035,93.34852533326949,1,6,0
6,0,136.0,0.0,6,2,4.63,95.14538378665179,1,6,0
6,1,142.0,0.0,6,3,4.63,59.54096652034485,1,5,0
4,0,79.0,0.0,4,5,6.945,31.903418025088314,1,4,0
3,0,30.0,0.0,5,4,5.825175090554315,41.428625526461516,1,3,0
1,0,12.0,0.0,5,4,6.521315012891902,41.90019692179817,1,1,0
0,0,0.0,0.0,5,4,4.494651069031525,41.38399385661111,1,0,0
1,1,0.0,1.0,6,4,4.498535102743934,41.47086978707645,2,0,1
1,1,0.0,2.0,8,3,3.407036572096011,56.92284234091488,3,0,1
0,2,0.0,3.0,5,5,5.350864116742428,32.74976210835972,4,-2,1
1,2,0.0,5.0,7,4,3.818198830337159,42.499053861769255,5,-1,1
1,2,0.0,7.0,6,4,5.045271288884959,42.630706781661104,6,-1,1
0,2,0.0,9.0,7,3,4.938726867615974,58.84861530032862,7,-2,1
0,3,0.0,11.0,3,6,11.81335580931975,28.265207833746103,8,-3,1
1,2,0.0,13.0,5,4,7.200311195325185,44.236730268456455,9,-1,1
0,3,0.0,16.0,4,5,11.195656420827438,34.47344368787903,10,-3,1
0,3,0.0,19.0,3,5,14.348950703145318,34.6697559430599,11,-3,1
2,3,0.0,22.0,5,4,5.07304431022087,44.26513736543578,12,-1,1
0,4,0.0,25.0,5,5,5.846070085309331,35.00733925479936,13,-4,1
0,3,0.0,28.0,3,6,11.577864994172359,28.44883392306566,14,-3,1
1,3,0.0,31.0,4,5,9.009855748930713,34.985392363238645,15,-2,1
0,5,0.0,35.0,4,6,9.922779309957303,29.156928833753728,16,-5,1
0,5,0.0,39.0,2,9,22.093583873491532,18.66696695414404,17,-5,1
1,4,0.0,43.0,4,7,10.339214862466324,25.043555687607295,18,-3,1
0,5,0.0,48.0,4,7,11.416963386747698,24.985187222930083,19,-5,1
0,6,0.0,53.0,2,9,21.620251758080332,18.905185127686106,20,-6,1
1,6,0.0,59.0,2,9,22.24236169978045,19.17621998254596,21,-5,1
0,6,0.0,65.0,3,8,15.258059202649166,21.848377771254633,22,-6,1
0,7,0.0,71.0,2,10,22.370888689855985,17.020449646140197,23,-7,1
0,6,0.0,77.0,2,9,22.55572282931302,19.331877133057148,24,-6,1
0,7,0.0,84.0,2,9,24.532817708873193,19.305742989095123,25,-7,1
0,8,0.0,92.0,1,10,56.71145803882275,17.03915653373403,26,-8,1
1,9,0.0,101.0,2,9,20.13436444338644,19.294116242247142,27,-8,1
0,9,0.0,110.0,2,9,21.08430975918302,19.29368808063484,28,-9,1
1,9,0.0,119.0,3,9,10.11270592021829,19.293378061354524,29,-8,1
0,9,0.0,128.0,2,9,17.5337641266617,19.29334298724784,30,-9,1
